,A_0,X_0,Y_0,A_1,X_1,Y_1,A_2,X_2,Y_2,A_3,X_3,Y_3,A_4,X_4,Y_4,A_5,X_5,Y_5
1673,5.563257720619085,15.01272384439689,8.323679050200635,0.0,2.0629308438548044,40.508599076037484,8.511977780960786,38.69263891643115,25.715654767636973,0.0,0.6529675531362744,15.667983616250453,0.0,7.277258759364313,6.048241912831687,5.908107203089025,1.474959070604418,14.437457368909994
1674,8.572428134630636,38.70140259707359,25.707178590475614,0.0,21.183021600536918,48.89363088984069,0.0,1.9743828836085053,1.1065838224280589,0.0,0.242132998713962,5.906542009637422,5.538687226924886,15.048186015563372,8.350868755140393,5.773990811828151,1.4844475522892426,14.445426936600649
1675,5.569398090918403,15.06062453367077,8.312786581076738,0.0,19.975089459037925,43.530291055705,8.560543419536708,38.68999518978528,25.716679483206487,0.0,8.632140354976292,31.639600053898597,0.0,7.277258759364313,6.048241912831687,5.854152028044687,1.49089313581339,14.438683580458136
1676,5.508023205231857,15.043676620068037,8.3042594024317,0.0,13.376651726103988,26.96205036310212,8.680009314841351,38.6730179280816,25.70331870928406,0.0,8.632140354976292,31.639600053898597,0.0,38.91378854611329,37.50069655741036,5.830049918654661,1.472573878058735,14.466949075992543
1677,0.0,17.041670625703837,28.1414836366996,8.660081884134648,38.67944646827194,25.706228710145123,0.0,41.61951996019123,2.816252697852728,5.862143864526046,1.454345964347004,14.462931394156383,0.0,42.66005464607161,19.986601382089386,5.537935388073654,15.042536856450617,8.336015965590205
1678,8.571771186824737,38.672825127975216,25.711271909351197,0.0,3.4508622703313954,21.476501166669117,0.0,27.865390031255615,41.28592907384084,0.0,14.266332621387889,24.080923425178213,5.5136205171929875,15.03725291370791,8.323200524759798,5.855997929387548,1.475893858486577,14.434519252809563
1679,0.0,1.1282698090374077,12.61089949796601,8.645617388668365,38.68266234570844,25.70579216989832,0.0,21.518410651462272,9.10257383988678,5.826157007472201,1.4535586705393957,14.435403330079575,5.6170096055270164,15.06447171504636,8.351913342313116,0.0,22.981060599269792,7.557440645003361
1680,8.50588316944512,38.678919624859816,25.720987244317683,0.0,42.538257951998624,29.508252289318598,0.0,0.6129648202932825,42.12307223986034,0.0,30.02900757196827,8.76610730596049,5.559421297679762,15.011866411430672,8.359560467497412,5.861157079530147,1.4859181698992678,14.489825794273752
1681,8.724342290404286,38.68585801814148,25.697221705172836,0.0,39.49586670030174,34.586775060708526,0.0,0.6129648202932825,42.12307223986034,0.0,22.273510292825055,30.943871039619918,5.528575786198597,15.036374403772102,8.330892572284148,5.8868741314601465,1.4612216611151958,14.431340532862544
1682,5.554996068419576,15.008952249595863,8.358230362088905,0.0,39.84508214692033,5.250483133940836,8.596215863062882,38.683380000389846,25.698940141694685,0.0,8.632140354976292,31.639600053898597,0.0,49.28705402152983,9.170014444365032,5.849500968591033,1.4494004322010823,14.432305914599782
1683,8.647003446477424,38.68225107952423,25.720694262196545,0.0,41.68209587677714,2.811706853027862,0.0,30.63455382635545,1.3211892861267727,0.0,0.242132998713962,5.906542009637422,5.563407415412686,15.017445139763375,8.348971058903171,5.8631936946153305,1.4757784944561965,14.441877947741
1684,5.528665000450134,15.085457284738844,8.2953269658684,0.0,3.1432325804190087,0.7555227179176505,8.575623662210875,38.66394185193405,25.69841227915723,0.0,8.632140354976292,31.639600053898597,0.0,10.02511203624109,35.96673258325865,5.872737210525619,1.4502748569032828,14.434951337197608
1685,8.581193425227813,38.6574589176746,25.71334983334526,0.0,21.183021600536918,48.89363088984069,0.0,38.746740760761696,17.400253794940856,0.0,0.242132998713962,5.906542009637422,5.555659243880667,15.035814911106767,8.303724218512352,5.8749402170448235,1.4683011507917458,14.445627511668622
1686,5.6379247286461025,15.031205426867194,8.349952106317335,0.0,0.33380965543710617,42.250171754418176,8.553440577473612,38.680719600755204,25.72964400380419,0.0,48.3217637962969,30.89668643268797,5.879022870893429,1.4625975937975664,14.468765612447719,0.0,27.224469386912837,18.250748754649987
1687,8.5868524029945,38.61255439031163,25.644533310579607,0.0,21.183021600536918,48.89363088984069,0.0,32.26380814491681,14.860591991479637,0.0,21.327491990150538,38.97245144314304,5.3519709168627285,15.038278521644731,8.366112040810494,5.8868741314601465,1.4612216611151958,14.431340532862544
1688,5.554405464872991,15.030383903563628,8.339431335482459,0.0,15.87891612060957,46.883736887101904,8.665867567589423,38.68775903297008,25.705576911927224,0.0,43.68153052268921,22.145906347756046,0.0,38.91378854611329,37.50069655741036,5.7973156682521925,1.457496499144782,14.436682974913765
1689,5.5335735671789665,15.00431462332819,8.312115274759257,0.0,33.52916441858596,36.913183371468406,8.698854723667944,38.690958777451605,25.69804111067765,0.0,8.632140354976292,31.639600053898597,0.0,10.02511203624109,35.96673258325865,5.826148896376633,1.5117976684296943,14.457495932541619
1690,5.509903750548058,14.998189163172311,8.301975861844616,0.0,36.89112852788131,36.41616025510605,8.665774591209576,38.68183125893131,25.7126695545737,0.0,8.632140354976292,31.639600053898597,0.0,10.02511203624109,35.96673258325865,5.869337146171315,1.4987594193366596,14.431436803846987
1691,0.0,37.017738801008164,49.387466514277385,8.591360771121881,38.657006742598085,25.699696706793517,0.0,41.2657663092596,39.71373055743433,5.815962232835469,1.4628963468778522,14.493511311791421,5.527263801035013,15.031902970962557,8.30723743928882,0.0,22.981060599269792,7.557440645003361
1692,5.6379247286461025,15.031205426867194,8.349952106317335,0.0,0.33380965543710617,42.250171754418176,8.553440577473612,38.680719600755204,25.72964400380419,0.0,48.3217637962969,30.89668643268797,5.879022870893429,1.4625975937975664,14.468765612447719,0.0,27.224469386912837,18.250748754649987
1693,8.587532895755965,38.665053713237484,25.70677551876805,0.0,19.54177465042107,27.148395192220086,0.0,0.6129648202932825,42.12307223986034,0.0,29.800585990587024,29.604056467035335,5.530080712858662,15.018297160536758,8.340395016234737,5.849622136463831,1.4765814188192514,14.421014055124278
1694,5.502310112004442,15.008584909999259,8.333402774493253,0.0,19.65246529244754,38.33303099103465,8.586157599948962,38.68866821769537,25.7071388696298,0.0,48.3217637962969,30.89668643268797,5.822986664814873,1.4883223429649706,14.44613379483027,0.0,27.224469386912837,18.250748754649987
